FACILITY NAME,ALT_FAC_NAME,UNIT NAME,CLASS,TYPE,REGION,PSGC_1,PROVINCE,PSGC_2,CITY/MUNICIPALITY,PSGC_3,BARANGAY,PSGC_4,STREET ADDRESS,UPDATED TEL NUMBER,Latitude,Longitude,EMAIL,SCHEDULE,WEBSITE,FB,COMMENTS,CONTRIBUTOR,SOURCE,
Angelus Medical Clinic,,,Private,Identified HIV Testing/Counselling Facility,NCR,,Metropolitan Manila,,Makati City,,,,"1730 Dian St, Barangay Palanan, Makati City",63 2 87438717-21; 63 2 82887927,14.557279,121.003546,info@angelusmed.com,Mo-Fr 08:00-17:00,https://angelusmed.com/,,,Mikko Tamura,https://data.gov.ph/?q=dataset/hiv-testing-hospitals,
Asia Pacific Medical and Diagnostic Services Inc.,,,Private,Identified HIV Testing/Counselling Facility,NCR,,Metropolitan Manila,,Makati City,,,,"3/F Alscophil Bldg. 2053 Edison Cor. Faraday St., San Isidro",63 2 8872145; 63 2 8871865,14.553693,121.003434,info@apdiags.com,Mo-Fr 07:30-17:30; Sa 07:30-16:30,www.apdiags.com,,,Mikko Tamura; Carmela Magayanes,https://data.gov.ph/?q=dataset/hiv-testing-hospitals,
Clinilab Medical Services Inc.,,,,Identified HIV Testing/Counselling Facility,NCR,,Metropolitan Manila,,Makati City,,,,"2/F Orchid Tower Oriental Gardens, Don Chino Roces Ave.",63 2 7298966,14.558899,121.012202,info@clinilabmedical.com,,,,,,https://data.gov.ph/?q=dataset/hiv-testing-hospitals,
Halcyon Marine HealthCare Systems,,,Private,Identified HIV Testing/Counselling Facility,NCR,,Metropolitan Manila,,Makati City,,,,"222 Sen. Gil J. Puyat Avenue Ground and 3rd Floors, Maria Cornelia Building, Makati 1230",63 2 8640213-14 loc. 115; 63 2 8640262,14.559036,121.010588,inquiry@halcyonmarine.com.ph,Mo-Fr 06:00-18:00; Sa 8:00-14:00,https://www.halcyonmarine.com.ph,,,Carmela Magayanes,https://data.gov.ph/?q=dataset/hiv-testing-hospitals,
HealthLab and Medical Services Inc.,,,Private,Identified HIV Testing/Counselling Facility,NCR,,Metropolitan Manila,,Makati City,,,,"Suite 802 and 1601 Medical Plaza Makati Bldg, Makati City",63 2 8671140; 63 2 8671141,14.558369,121.014375,healthlabinc@gmail.com,,http://www.healthlab.com.ph/,,,Carmela Magayanes,https://data.gov.ph/?q=dataset/hiv-testing-hospitals,
Hi-Precision Diagnostics (Rockwell Branch),,,Private,Identified HIV Testing/Counselling Facility,NCR,,Metropolitan Manila,,Makati City,,,,"R3 Level 324A Rockwell Power Plant Mall, Makati City",63 9228906667; 63 9178481765; 63 2 84780377; 63 2 84048120,14.563932,121.036372,info@hiprecision.com.ph,Mo-Sa 06:45-18:00; Su 06:45-17:00,https://www.hi-precision.com.ph/branch.do?item_id=1024247044&mobile_selected=true,,,"Papu Torres, Carmela Magayanes",https://www.webbline.com/hiv-testing-centers/,
Makati Medical Center,,CTTM,Private,Treatment Hub,NCR,,Metropolitan Manila,,Makati City,,,,"#2 Amorsolo St., Legaspi Village, Makati City",63 2 8888999 loc. 2134; 63 9178014314; 63 9066618618; 63 9182823363,14.55924,121.01479,mmc@makatimed.net.ph,24-Jul,https://www.makatimed.net.ph,,,Mikko Tamura,https://www.doh.gov.ph/sites/default/files/statistics/HIV_2019_April.pdf,
Makati Social Hygiene Clinic,,,Government,Identified HIV Testing/Counselling Facility,NCR,,Metropolitan Manila,,Makati City,,,,"Social Hygiene Clinic 7th floor Makati City Hall building 1 JP Rizal Street, Makati, 1200 Metro Manila",63 2 8701000; 63 2 8701615,14.57059,121.027448,,Mo-Fr 08:00-17:00,X,https://www.facebook.com/pages/category/Medical-Center/Makati-Social-Hygiene-Clinic-710036596017890/,,"Adam Banto, Carmela Magayanes",https://www.webbline.com/hiv-testing-centers/,
Medical Towers Laboratory and Diagnostic Center,,,,Identified HIV Testing/Counselling Facility,NCR,,Metropolitan Manila,,Makati City,,,,"Suite 510-512 Medical Towers Bldg, VA Rufino, Makati City",63 2 8183175,14.556998,121.01773,,,,,,,https://data.gov.ph/?q=dataset/hiv-testing-hospitals,
Ospital ng Makati,OsMak,,Government,Identified HIV Testing/Counselling Facility,NCR,,Metropolitan Manila,,Makati City,,,,"Sampaguita St., Cor. Dahlia St., Fort Bonifacio, Makati City","63 2 5246061 loc. 354,358",14.546425,121.061747,,,X,https://www.facebook.com/OspitalngMakatiOsmak/,,Mikko Tamura,https://data.gov.ph/?q=dataset/hiv-testing-hospitals,
P and D Peralta Medical Clinic Laboratory,,,Private,Identified HIV Testing/Counselling Facility,NCR,,Metropolitan Manila,,Makati City,,,,"3rd Filipino Bldg. 1355 Dela Rosa St Cor. Legazpi Village,.Makati City",63 2 8172632; 63 2 8100820,14.558147,121.016501,,Mo-Sa 10:00-18:00,https://www.practo.com/makati/clinic/p-and-d-peralta-medical-clinic-makati-city,,,Carmela Magayanes,https://data.gov.ph/?q=dataset/hiv-testing-hospitals,
PTC Health Metrics Inc.,,,Private,Identified HIV Testing/Counselling Facility,NCR,,Metropolitan Manila,,Makati City,,,,"Merry Land Bldg.
1157 Chino Roces Ave., San Antonio Village 1203,
Makati City, Philippines",63 2 77951234; 63 2 82409000; 63 917851613; 63 9178519614,14.564545,121.011929,info@healthmetrics.com.ph,,https://www.healthmetrics.com.ph/,,,Carmela Magayanes,https://data.gov.ph/?q=dataset/hiv-testing-hospitals,
"RGO Laboratory and Industrial Diagnostic Center, Inc.",,,,Identified HIV Testing/Counselling Facility,NCR,,Metropolitan Manila,,Makati City,,,,"Emiluz Bldg, 1980 M. Reyes Street, Bangkal, Makati City",63 2 88891311; 63 2 88431853; 63 2 88894944; 63 2 88214709,14.544117,121.010298,rgolaboratory@gmail.com,Mo-Fr 08:00-18:00,https://www.rgolab.com.ph/,,,Carmela Magayanes,https://data.gov.ph/?q=dataset/hiv-testing-hospitals,
"RNL Medical and Diagnostic Center, Inc.",,,,Identified HIV Testing/Counselling Facility,NCR,,Metropolitan Manila,,Makati City,,,,"5th Floor Wisma Cyberhub Building No. 45 Gil Puyat Ave., Makati City",63 2 9091244,14.556067,121.00334,,,http://rnlmedicalclinic.com/,,,Carmela Magayanes,https://data.gov.ph/?q=dataset/hiv-testing-hospitals,
"Sacred Heart Diagnostic Medical Clinic, Inc.",,,,Identified HIV Testing/Counselling Facility,NCR,,Metropolitan Manila,,Makati City,,,,"2nd Floor, Right Wing, Maga Center, Paseo de Magallanes, Makati City",63 2 8530235; 63 2 8530633,14.538676,121.017283,sacredheartdiagnostic@gmail.com,Mo-Fr 08:00-17:00; Sa 08:00-14:00,http://sacredheartdiagnostic.com,,,Carmela Magayanes,https://data.gov.ph/?q=dataset/hiv-testing-hospitals,
Malabon City Social Hygiene Clinic,,,Government,Primary HIV Care Facility,NCR,,Metropolitan Manila,,Malabon,,,,"Maya-Maya St., Corner Dagat-Dagatan Avenue, Longos, 1470 Malabon City",63 2 3733431; 63 9328761221,14.655694,120.962601,malabon.shc@yahoo.com,Mo-Fr 08:00-17:00,X,https://www.facebook.com/SHCMalabon/,,Kevin John Wandaga,https://www.doh.gov.ph/sites/default/files/statistics/HIV_2019_April.pdf,
MicroMedic D' Micro asia Medical Laboratory,,,,Identified HIV Testing/Counselling Facility,NCR,,Metropolitan Manila,,Mandaluyong City,,,,"913 A.T Reyes St., Brgy Poblacion, Mandaluyong City",63 2 5351438,14.58642,121.026,mlaboratory16@yahoo.com,Mo-Su 09:00-18:00,,https://facebook.com/pages/category/Medical-Lab/D-Microasia-Medical-Lab-Inc-127956387312206/,,,https://data.gov.ph/?q=dataset/hiv-testing-hospitals,
Echavez Medical Services,,,,Identified HIV Testing/Counselling Facility,NCR,,Metropolitan Manila,,Mandaluyong City,,,,"Arle Square Unit E, 187 Edsa,Mandaluyong City",63 2 87219776,14.592212,121.057712,echavezm@echavezmedical.com,,,,,,https://data.gov.ph/?q=dataset/hiv-testing-hospitals,
Health Cube Medical Clinics (Shaw Branch),,,Private,Identified HIV Testing/Counselling Facility,NCR,,Metropolitan Manila,,Mandaluyong City,,,,"240 Shaw Blvd, Mandaluyong, 1552 Metro Manila",63 2 6521111,14.591424,121.033128,inquiry@healthcube.com.ph,,https://healthcubemedicalclinics.continuouscare.io/,,,Kevin John Wandaga,https://www.webbline.com/hiv-testing-centers/,
Love Yourself Anglo,,,NGO,Primary HIV Care Facility,NCR,,Metropolitan Manila,,Mandaluyong City,,,,"Unit 5, 3/F, Anglo Building, #715-A Shaw Boulevard, Mandaluyong City",63 9205021007; 63 9995292330; 63 9566151230; 63 9153107336,14.58356,121.05118,info@loveyourself.ph,We-Su 12:00-17:00,http://www.loveyourself.ph/p/hiv-test-sites.html,,,Mikko Tamura,https://www.doh.gov.ph/sites/default/files/statistics/HIV_2019_April.pdf,
Mandaluyong Social Hygiene Clinic,,,Government,Primary HIV Care Facility,NCR,,Metropolitan Manila,,Mandaluyong City,,,,"20 M. Lerma St. cor. Vicencio St, Mandaluyong City",63 2 85467799; 63 2 83558367,14.580167,121.027327,,,X,https://www.facebook.com/shcmanda/,,,https://www.doh.gov.ph/sites/default/files/statistics/HIV_2019_April.pdf,
St. Patrick's Clinic and Laboratory,,,Private,Primary HIV Care Facility,NCR,,Metropolitan Manila,,Mandaluyong CIty,,,,566 Shaw Blvd.,63 2 5339291; 63 2 34917349; 63 9178281278,14.585503,121.048303,spms.efs@gmail.com,,,https://facebook.com/stpatricksclinic/,,Mikko Tamura,https://data.gov.ph/?q=dataset/hiv-testing-hospitals,
Sustained Health Initiatives of the Philippines Clinic,The SHIP Clinic,,NGO,Primary HIV Care Facility,NCR,,Metropolitan Manila,,Mandaluyong City,,,,St. Patrick’s Healthcare Building at 566 Shaw Blvd. Mandaluyong,63 2 4917349,14.586029,121.048199,info@ship.ph,Fr-We 14:00-19:00,http://www.ship.ph/,,,Iosif,https://www.webbline.com/hiv-testing-centers/,
Victor R. Potenciano Medical Center,,,,Identified HIV Testing/Counselling Facility,NCR,,Metropolitan Manila,,Mandaluyong CIty,,,,163 Epifanio delos santos Ave.,63 2 5314911 loc. 236; 63 2 5337957,14.577101,121.050174,info@vrp.com.ph,Fr-We 14:00-19:00,https://www.vrp.com.ph/,,,Mikko Tamura,https://data.gov.ph/?q=dataset/hiv-testing-hospitals,
Agoncillo Medical Clinic,,,,Identified HIV Testing/Counselling Facility,NCR,,Metropolitan Manila,,Manila City,,,,"G/F Bldg 1721, F. Agoncillo St., Malate Manila",63 2 3025288,14.575141,120.990611,agoncillomed@yahoo.com,,,,,Mikko Tamura,https://data.gov.ph/?q=dataset/hiv-testing-hospitals,
Alif Medical and Diagnostic Clinic,,,,Identified HIV Testing/Counselling Facility,NCR,,Metropolitan Manila,,Manila City,,,,3rd Floor Agoncillo Bldg Cor. Pedro Gil Taft Ave. Manila,63 2 4041538; 63 2 5265780,14.576353,120.988437,,,,,,Mikko Tamura,https://data.gov.ph/?q=dataset/hiv-testing-hospitals,
American Out Patient Clinic,,,,Identified HIV Testing/Counselling Facility,NCR,,Metropolitan Manila,,Manila City,,,,"2/F FEMII Bldg., A. Soriano Ave., Intramuros Manila",63 2 85271611; 63 2 85272853,14.593128,120.973314,admin@americanoutpatient.com,,https://americanoutpatient.com/,,,Mikko Tamura,https://data.gov.ph/?q=dataset/hiv-testing-hospitals,
Arguelles Medical Clinic,,,,Identified HIV Testing/Counselling Facility,NCR,,Metropolitan Manila,,Manila City,,,,"1271 Zobel Roxas, Malate, Manila",63 2 5215353,14.565637,121.002558,email@a-md.com,,,,,Mikko Tamura,https://data.gov.ph/?q=dataset/hiv-testing-hospitals,
Asiatic Medical Laboratories Inc.,,,,Identified HIV Testing/Counselling Facility,NCR,,Metropolitan Manila,,Manila City,,,,"Rm. 205 Se Jo Tong Bldg., 808 Ongpin St., Sta Cruz Manila",63 2 7333087; 63 2 7333065,14.612108,121.032882,asiaticmed@yahoo.com,,,https://facebook.com/asiaticmedlab2015/,,Mikko Tamura,https://data.gov.ph/?q=dataset/hiv-testing-hospitals,
Avs Medical Clinic,,,,Identified HIV Testing/Counselling Facility,NCR,,Metropolitan Manila,,Manila City,,,,"2/F, 1214 Arquiza St., Cor. M.H Del Pilar, Ermita,Manila",63 2 5229552,14.577814,120.980229,avsmedicalclinic@yahoo.com,,,https://facebook.com/pages/category/Medical-Service/AVS-Medical-Clinic-INC-1410210992630688/,,Mikko Tamura,https://data.gov.ph/?q=dataset/hiv-testing-hospitals,
Calpe Medical Services and Supplies,,,Private,Identified HIV Testing/Counselling Facility,NCR,,Metropolitan Manila,,Manila City,,,,"1421 A. Mabini St., Ermita, Manila",63 2 9201023,14.575725,120.981998,,,,,,,https://data.gov.ph/?q=dataset/hiv-testing-hospitals,
CBZ Medical Clinic,,,Private,Identified HIV Testing/Counselling Facility,NCR,,Metropolitan Manila,,Manila City,,,,"1507 NFWC Bldg, San Marcelino, Ermita, Manila",63 2 5269133; 63 2 5214736; 63 2 5269133,14.578174,120.989756,,,,,,Mikko Tamura,https://data.gov.ph/?q=dataset/hiv-testing-hospitals,
Centerport Medical Services Inc.,,,Private,Identified HIV Testing/Counselling Facility,NCR,,Metropolitan Manila,,Manila City,,,,"4th Flr Victoria Bldg ., 429 U.N Ave. Cor. L.M., Ermita, Manila",63 2 5260221,14.579447,120.978646,centerportmed@yahoo.com,,,https://facebook.com/pages/category/Home-Health-Care-Service/Centerport-Medical-Services-Inc-121653861663475/,,Mikko Tamura,https://data.gov.ph/?q=dataset/hiv-testing-hospitals,
CEU Clinical Laboratory,,,,Identified HIV Testing/Counselling Facility,NCR,,Metropolitan Manila,,Manila City,,,,No. 9 Mendiola St.,63 2 735686169 loc. 237; 63 2 7356876,14.598308,120.992562,,,,,,,https://data.gov.ph/?q=dataset/hiv-testing-hospitals,
Chinese General Hospital and Medical Center,,,,Identified HIV Testing/Counselling Facility,NCR,,Metropolitan Manila,,Manila City,,,,"286 Blumentritt St., Sta. Cruz",63 2 87114141 loc. 69370,14.625657,120.988404,info@cghmc.com.ph,,https://cghmc.com.ph/online/,https://www.facebook.com/pages/category/Hospital/cghmcofficial,,Mikko Tamura,https://data.gov.ph/?q=dataset/hiv-testing-hospitals,
Clemen's Medical Clinic,,,,Identified HIV Testing/Counselling Facility,NCR,,Metropolitan Manila,,Manila City,,,,"3rd Floor Goodwill Bldg. 1662 Leon Guinto, Malate Manila",63 2 5227920-21; 63 2 5222336,14.575638,120.989733,clemensmedicalclinic101@gmail.com,,http://clemensmedicalclinic.blogspot.com/?m=1,,,,https://data.gov.ph/?q=dataset/hiv-testing-hospitals,
Clinical Occupational Medicine and Treatment Center (CLINICOMED),,,,Identified HIV Testing/Counselling Facility,NCR,,Metropolitan Manila,,Manila City,,,,"470-San Andres Cor. M.H Del Pilar St., Malate, Manila",63 2 5215499; 63 2 5260840,14.568528,120.9849,clinico.admin@clinicomed.com,,https://www.clinicomed.com/home/,,,,https://data.gov.ph/?q=dataset/hiv-testing-hospitals,
Co Medical and Diagnostic Clinic,,,,Identified HIV Testing/Counselling Facility,NCR,,Metropolitan Manila,,Manila City,,,,"Suite 101 Maxim Bldg # 805-809 G. Masankay st, Manila,Binondo, Manila",63 2 2448669,14.601731,120.97491,,,,,,,https://data.gov.ph/?q=dataset/hiv-testing-hospitals,
Dr. Jose Fabella Memorial Hospital,,,Government,Identified HIV Testing/Counselling Facility,NCR,,Metropolitan Manila,,Manila City,,,,"Lope De Vega St., Sta. Cruz Manila","63 2 7345561 loc. 104,115; 63 2 7347146",14.606307,120.983847,fabella_mcc@yahoo.com,,http://fabella.doh.gov.ph/,,,Mikko Tamura,https://data.gov.ph/?q=dataset/hiv-testing-hospitals,
Eastern Doctors Medical Services Inc.,,,Private,Identified HIV Testing/Counselling Facility,NCR,,Metropolitan Manila,,Manila City,,,,"Suite G-1 Bel-Air, Apts. 1020 Roxas Blvd., Ermita Manila",63 2 5215499; 63 2 5260840,14.579547,120.977916,edmsi.marketing@yahoo.com,,https://www.easterndoctorsmedical.com/,,,,https://data.gov.ph/?q=dataset/hiv-testing-hospitals,
Excelsis Medical and Diagnostic Clinic,,,,Identified HIV Testing/Counselling Facility,NCR,,Metropolitan Manila,,Manila City,,,,"101 2nd Flr. Palisade Bldg. Ma. Orosa St., Ermita Manila",63 2 3531110,14.579992,120.982292,,,,,,,https://data.gov.ph/?q=dataset/hiv-testing-hospitals,
First Medical Team Health Care Specialist Group,,,,Identified HIV Testing/Counselling Facility,NCR,,Metropolitan Manila,,Manila City,,,,"4th Flr. San Luis Terraces Bldg., T.M Kalaw, Ermita Manila",63 2 5229782; 63 2 5266107; 63 2 6891430; 63 2 6183362,14.582186,120.981975,firstmedicalteam@yahoo.com,,https://firstmedicalteam.com/,,,,https://data.gov.ph/?q=dataset/hiv-testing-hospitals,
"Galenus Clinic, Inc.",,,,Identified HIV Testing/Counselling Facility,NCR,,Metropolitan Manila,,Manila City,,,,"3/F Ferguson Park Tower M.H. Del Pilar or. A-flores St., Ermita Manila",63 2 5284185; 63 2 5284196; 63 2 5369716,14.578846,120.979407,,,,,,,https://data.gov.ph/?q=dataset/hiv-testing-hospitals,
Health Point Medical Clinic and Diagnostic,,,,Identified HIV Testing/Counselling Facility,NCR,,Metropolitan Manila,,Manila City,,,,"577 Padre Faura St., Ermita, Manila",63 2 5274286; 63 2 5274290,14.578487,120.982927,healthpointclinic@yahoo.com,,,,,,https://data.gov.ph/?q=dataset/hiv-testing-hospitals,
Healthwise Diagnostic Lab,,,,Identified HIV Testing/Counselling Facility,NCR,,Metropolitan Manila,,Manila City,,,,"1417 B Richtown Tower Mayhaligue St., Sta Cruz, Manila",63 2 2544861,14.609129,120.979931,healthwisediagnosticlab@gmail.com; healthwisediagnosticlab@yahoo.com,,,,,,https://data.gov.ph/?q=dataset/hiv-testing-hospitals,
Heartland Medical and Diagnostic Center,,,,Identified HIV Testing/Counselling Facility,NCR,,Metropolitan Manila,,Manila City,,,,"1717 Angel Linao St., Paco Manila",63 2 3031313,14.576207,120.993921,assistant@hhsil.com,,,,,Mikko Tamura,https://data.gov.ph/?q=dataset/hiv-testing-hospitals,
Hi-Precision Diagnostics (Taft Branch),,,Private,Identified HIV Testing/Counselling Facility,NCR,,Metropolitan Manila,,Manila City,,,,"1852 Taft Avenue, Malate, Manila",63 9328908921; 63 9178191761; 63 9338150532; 63 2 84050039; 63 2 84050135,14.572973,120.990275,info@hi-precision.com.ph,Mo-Sa 06:00-17:00,https://www.hi-precision.com.ph/,,,Papu Torres,https://www.webbline.com/hiv-testing-centers/,
Hi-Precision Diagnostics (TM Kalaw Branch),,,Private,Identified HIV Testing/Counselling Facility,NCR,,Metropolitan Manila,,Manila City,,,,"G/F Rm. 102 San Luis Terraces, 638 T.M. Kalaw St.",63 9338193852; 63 9175782256; 63 2 84050151; 63 2 84041441,14.582245,120.982036,info@hi-precision.com.ph,Mo-Sa 06:00-18:00,https://www.hi-precision.com.ph/,,,Papu Torres,https://www.webbline.com/hiv-testing-centers/,
Holy Angel Medical Clinic Inc.,,,,Identified HIV Testing/Counselling Facility,NCR,,Metropolitan Manila,,Manila City,,,,"603 AP Bldg., Pedro Gil St.,Ermita, Manila",63 2 5216112; 63 2 5216114,14.576712,120.98945,holyangelmedicalclinic@yahoo.com,,,https://www.facebook.com/HolyAngelMedicalCliniInc/,,,https://data.gov.ph/?q=dataset/hiv-testing-hospitals,
Hospital of the Infant Jesus,,,,Identified HIV Testing/Counselling Facility,NCR,,Metropolitan Manila,,Manila City,,,,"1556 Laong Laan Road., Sampaloc, Manila",63 2 7312771 loc. 151,14.61415,120.98911,info@hijmc.com,,http://hijmc.com/,,,"Mikko Tamura, Carmela Magayanes",https://data.gov.ph/?q=dataset/hiv-testing-hospitals,
Intercon Diagnostic Labotory Inc. (main),,,,Identified HIV Testing/Counselling Facility,NCR,,Metropolitan Manila,,Manila City,,,,"453 Juan Luna St, Binondo, Manila",63 2 2428061,14.600556,120.97334,interconlab@gmail.com,,https://www.interconlaboratory.com/,,,,https://data.gov.ph/?q=dataset/hiv-testing-hospitals,
International Diagnostic Center Inc.,,,,Identified HIV Testing/Counselling Facility,NCR,,Metropolitan Manila,,Manila City,,,,"1901 IDC Bldg., 429 United Nation Ave., Ermita, Manila",63 2 5366682,14.573657,120.992715,idci@pldtdsl.net,,X,https://facebook.com/IDCIRemedios/,,,https://data.gov.ph/?q=dataset/hiv-testing-hospitals,
International Health Aide Diagnostic Services Inc.,,,,Identified HIV Testing/Counselling Facility,NCR,,Metropolitan Manila,,Manila City,,,,2F Joshua Center Bldg. 1428 Taft Ave. Ermita Manila,63 2 5222772 loc. 105; 63 2 5281086,14.578386,120.987343,ihadsmanila@gmail.com,,,https://facebook.com/ihadsph/,,,https://data.gov.ph/?q=dataset/hiv-testing-hospitals,
JED Diagnostic Center,,,,Identified HIV Testing/Counselling Facility,NCR,,Metropolitan Manila,,Manila City,,,,"3rd Floor Godino Tower, 350 Arroceros St., Ermita Manila",63 2 5225086; 63 2 4005676; 63 2 5225086,14.589127,120.982361,,,,,,,https://data.gov.ph/?q=dataset/hiv-testing-hospitals,
Jose L. Guttierrez Clinic,,,,Identified HIV Testing/Counselling Facility,NCR,,Metropolitan Manila,,Manila City,,,,"2031 M.H. Del Pillar ST.,Malate,Manila",63 2 5232570; 63 2 5248995,14.579666,120.981008,,,,https://facebook.com/JLGClinicPH/,,,https://data.gov.ph/?q=dataset/hiv-testing-hospitals,
Jose R. Reyes Memorial Medical Center,,,Government,Identified HIV Testing/Counselling Facility,NCR,,Metropolitan Manila,,Manila City,,,,"Bldg. 14, DOH Compound, Sta. Cruz, Manila",63 2 7400246; 63 2 7438301 loc. 1702; 63 9228245216,14.61408,120.98199,,,http://www.jrrmmc.gov.ph/,,,Mikko Tamura,https://data.gov.ph/?q=dataset/hiv-testing-hospitals,
Love Yourself Welcome,,,NGO,Identified HIV Testing/Counselling Facility,NCR,,Metropolitan Manila,,Manila City,,,,"858 Blumentritt Road corner Remedios Street, Sampaloc, Manila",63 9672071976,14.615036,121.000086,info@loveyourself.ph,We-Sa 12:00-16:00; Su 09:00-14:00,http://www.loveyourself.ph/?m=1,,,Mikko Tamura,https://www.wheninmanila.com/list-of-clinics-in-philippines-that-offer-free-hiv-testing/,
Manila Doctors Hospital,,The H.U.B. @ MDH,Private,Treatment Hub,NCR,,Metropolitan Manila,,Manila City,,,,"667 United Nations Ave, Ermita, Manila, 1000 Metro Manila",63 2 5580888 loc. 4480; 63 2 5247376; 63 9989557598,14.58217,120.98271,info@maniladoctors.com.ph,"Mo-Fr 08:00-17:00, Sa 08:00-16:00",https://www.maniladoctors.com.ph/,,,Kevin John Wandaga,https://www.doh.gov.ph/sites/default/files/statistics/HIV_2019_April.pdf,
